"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.02e+06 100 %,1.02e+06 100 %
"<program root>",1.02e+06 100 %,
"main",1.02e+06 100 %,9.73e+05 95.0%
"loop at : 308",8.35e+05 81.5%,
"loop at : 335",2.55e+05 24.9%,2.55e+05 24.9%
": 336",2.39e+05 23.3%,2.39e+05 23.3%
": 335",1.57e+04  1.5%,1.57e+04  1.5%
"loop at : 345",2.24e+05 21.9%,2.24e+05 21.9%
": 346",1.78e+05 17.4%,1.78e+05 17.4%
": 345",4.59e+04  4.5%,4.59e+04  4.5%
"loop at : 315",1.88e+05 18.4%,1.88e+05 18.4%
": 316",1.48e+05 14.5%,1.48e+05 14.5%
": 315",3.99e+04  3.9%,3.99e+04  3.9%
"loop at : 325",1.68e+05 16.4%,1.68e+05 16.4%
": 326",1.44e+05 14.1%,1.44e+05 14.1%
": 325",2.41e+04  2.4%,2.41e+04  2.4%
"loop at : 269",1.27e+05 12.4%,1.27e+05 12.4%
": 272",5.25e+04  5.1%,5.25e+04  5.1%
": 271",4.08e+04  4.0%,4.08e+04  4.0%
": 270",3.35e+04  3.3%,3.35e+04  3.3%
"checkSTREAMresults",5.12e+04  5.0%,5.12e+04  5.0%
"loop at : 463",5.12e+04  5.0%,5.12e+04  5.0%
": 466",2.84e+04  2.8%,2.84e+04  2.8%
": 464",1.25e+04  1.2%,1.25e+04  1.2%
": 465",1.03e+04  1.0%,1.03e+04  1.0%
"loop at : 288",1.16e+04  1.1%,1.16e+04  1.1%
": 289",1.16e+04  1.1%,1.16e+04  1.1%
